type,exchange_segment,security_id,LTP,LTQ,LTT,avg_price,volume,total_sell_quantity,total_buy_quantity,open,close,high,low
Quote Data,0,25,46646.70,0,14:21:25,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46647.75,0,14:21:26,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46648.30,0,14:21:27,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46647.20,0,14:21:28,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46648.00,0,14:21:29,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46646.75,0,14:21:30,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46647.00,0,14:21:31,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46650.45,0,14:21:32,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46648.55,0,14:21:33,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46649.45,0,14:21:34,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46651.75,0,14:21:35,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46652.65,0,14:21:36,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46648.95,0,14:21:37,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46651.50,0,14:21:38,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46649.50,0,14:21:39,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46652.05,0,14:21:40,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46652.05,0,14:21:40,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46647.75,0,14:21:41,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46648.70,0,14:21:42,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46648.15,0,14:21:43,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46648.70,0,14:21:44,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46646.95,0,14:21:45,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46649.40,0,14:21:46,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46646.90,0,14:21:47,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46646.90,0,14:21:47,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46650.15,0,14:21:48,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46649.65,0,14:21:49,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46650.60,0,14:21:50,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46651.30,0,14:21:51,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46648.70,0,14:21:52,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46650.30,0,14:21:53,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46649.85,0,14:21:54,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46647.45,0,14:21:55,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46650.20,0,14:21:56,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46649.15,0,14:21:57,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46649.25,0,14:21:58,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46648.45,0,14:21:59,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46649.80,0,14:22:00,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46645.80,0,14:22:01,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46649.85,0,14:22:02,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46651.65,0,14:22:03,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46652.00,0,14:22:04,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46651.30,0,14:22:05,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46650.20,0,14:22:06,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46650.70,0,14:22:07,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46654.60,0,14:22:08,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46651.15,0,14:22:09,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46653.35,0,14:22:10,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46653.35,0,14:22:10,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46654.60,0,14:22:11,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46656.75,0,14:22:12,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46655.45,0,14:22:13,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46655.45,0,14:22:13,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46659.20,0,14:22:14,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46657.85,0,14:22:15,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46656.70,0,14:22:16,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46662.15,0,14:22:17,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
