open,high,low,close,volume,start_Time,date
70.65,71.7,70.4,71.68,186720.0,1392781500.0,2024-02-19 09:15:00
71.5,71.7,71.0,71.2,132743.0,1392781560.0,2024-02-19 09:16:00
71.2,71.38,71.0,71.15,120498.0,1392781620.0,2024-02-19 09:17:00
71.15,71.38,71.1,71.34,57734.0,1392781680.0,2024-02-19 09:18:00
71.26,71.33,71.11,71.29,30212.0,1392781740.0,2024-02-19 09:19:00
71.29,71.34,71.28,71.28,31637.0,1392781800.0,2024-02-19 09:20:00
71.28,71.28,71.11,71.14,15984.0,1392781860.0,2024-02-19 09:21:00
71.12,71.18,71.04,71.08,46446.0,1392781920.0,2024-02-19 09:22:00
71.06,71.06,71.0,71.0,28951.0,1392781980.0,2024-02-19 09:23:00
71.05,71.05,71.0,71.02,19044.0,1392782040.0,2024-02-19 09:24:00
71.02,71.19,71.02,71.19,23815.0,1392782100.0,2024-02-19 09:25:00
71.2,71.39,71.19,71.39,27533.0,1392782160.0,2024-02-19 09:26:00
71.4,71.4,71.2,71.35,14844.0,1392782220.0,2024-02-19 09:27:00
71.36,71.48,71.36,71.38,29450.0,1392782280.0,2024-02-19 09:28:00
71.38,71.43,71.21,71.4,18518.0,1392782340.0,2024-02-19 09:29:00
71.4,71.4,71.21,71.26,54921.0,1392782400.0,2024-02-19 09:30:00
71.26,71.43,71.21,71.26,45213.0,1392782460.0,2024-02-19 09:31:00
71.26,71.3,71.12,71.19,30826.0,1392782520.0,2024-02-19 09:32:00
71.19,71.19,70.6,70.81,90475.0,1392782580.0,2024-02-19 09:33:00
70.75,70.79,70.51,70.6,28302.0,1392782640.0,2024-02-19 09:34:00
70.6,70.9,70.58,70.85,16609.0,1392782700.0,2024-02-19 09:35:00
70.84,70.84,70.8,70.8,12211.0,1392782760.0,2024-02-19 09:36:00
70.82,70.85,70.8,70.82,8833.0,1392782820.0,2024-02-19 09:37:00
70.83,70.85,70.83,70.84,6450.0,1392782880.0,2024-02-19 09:38:00
70.83,71.1,70.83,71.09,17673.0,1392782940.0,2024-02-19 09:39:00
71.01,71.19,70.88,70.9,26790.0,1392783000.0,2024-02-19 09:40:00
70.9,70.94,70.6,70.6,29104.0,1392783060.0,2024-02-19 09:41:00
